timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1638191313668,676,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-3,text,true,,695,10,10,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,672,1,0,25072f79a3ce,0,526
1638191313669,743,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-7,text,true,,695,9,9,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,743,1,0,25072f79a3ce,0,527
1638191313663,1648,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-10,text,true,,695,8,8,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,1648,1,0,25072f79a3ce,0,531
1638191313669,1689,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-1,text,true,,695,7,7,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,1689,1,0,25072f79a3ce,0,525
1638191313669,1732,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-5,text,true,,695,6,6,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,1732,1,0,25072f79a3ce,0,525
1638191313669,1733,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-8,text,true,,695,5,5,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,1733,1,0,25072f79a3ce,0,526
1638191313663,1773,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-2,text,true,,695,4,4,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,1773,1,0,25072f79a3ce,0,531
1638191313668,1992,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-9,text,true,,695,3,3,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,1992,1,0,25072f79a3ce,0,527
1638191313663,2004,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-6,text,true,,695,2,2,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,2004,1,0,25072f79a3ce,0,532
1638191313663,2094,Repetition 1 under 10 of concurrency,200,OK,aws - 10 users 1-4,text,true,,695,1,1,https://nyoh5mvlj6.execute-api.us-east-1.amazonaws.com/orama-get?a=undefined&b=undefined&c=undefined&d=undefined&e=undefined&operation=undefined,,2094,1,0,25072f79a3ce,0,532
