R2
	Dense	LSTM	BLSTM
R1	0.6538	0.6783	0.6827
R2	0.4490	0.4327	0.3857
R3	0.7260	0.7197	0.9020
R4	0.7458	0.7891	0.7996
R5	0.6434	0.6627	0.6534
R6	0.7100	0.7325	0.7555
R7	0.7854	0.8357	0.8734
R8	0.3838	0.3946	0.3010
R9	0.6566	0.6967	0.7062
R10	0.8076	0.8598	0.8829

RMSE
	Dense	LSTM	BLSTM
R1	0.5030	0.4849	0.4816
R2	0.8378	0.8501	0.8847
R3	0.3950	0.3995	0.2363
R4	0.2747	0.2502	0.2439
R5	0.8682	0.8445	0.8560
R6	0.5728	0.5502	0.5260
R7	0.6273	0.5488	0.4816
R8	0.4581	0.4541	0.4879
R9	0.8102	0.7615	0.7494
R10	0.3910	0.3338	0.3051

MSE
	Dense	LSTM	BLSTM
R1	0.2530	0.2352	0.2320
R2	0.7020	0.7227	0.7826
R3	0.1561	0.1596	0.0558
R4	0.0755	0.0626	0.0595
R5	0.7538	0.7131	0.7328
R6	0.3281	0.3027	0.2767
R7	0.3935	0.3012	0.2320
R8	0.2099	0.2062	0.2381
R9	0.6565	0.5799	0.5616
R10	0.1529	0.1114	0.0931

MAPE
	Dense	LSTM	BLSTM
R1	1.1720	1.4108	1.0607
R2	1.5106	1.8941	1.9009
R3	0.7151	0.7354	0.6205
R4	6.4689	10.9669	8.1850
R5	0.8800	0.8745	0.8868
R6	0.7638	0.8644	0.8436
R7	0.7725	0.7958	0.7405
R8	0.8150	0.8590	0.8671
R9	1.2163	1.2166	1.2265
R10	0.9242	1.1268	1.0131

MAPE2
	Dense	LSTM	BLSTM
R1	117.1961	141.0848	106.0749
R2	151.0591	189.4108	190.0918
R3	71.5093	73.5406	62.0498
R4	646.8922	1096.6891	818.5044
R5	88.0037	87.4455	88.6847
R6	76.3765	86.4440	84.3559
R7	77.2493	79.5800	74.0468
R8	81.5035	85.9005	86.7067
R9	121.6255	121.6587	122.6503
R10	92.4206	112.6760	101.3065

MAE
	Dense	LSTM	BLSTM
R1	0.2658	0.2386	0.2109
R2	0.4412	0.4256	0.3762
R3	0.2132	0.1903	0.1198
R4	0.1881	0.1604	0.1251
R5	0.4803	0.4302	0.4088
R6	0.2855	0.2622	0.2259
R7	0.3475	0.2997	0.2606
R8	0.2075	0.1875	0.1789
R9	0.4630	0.4020	0.3697
R10	0.2196	0.1954	0.1665

